file,treatment,replicate,egg_mass_count,number_nymphs_per_replicate,adult_molts_per_replicate,surviviorship,sex_ratio,nb.calls,intercall.dur,dom.freq,whine.dur,pulse.rate,nb.pulse,mass,temp
D2_Male_3_final.txt,High,D2,44,30,17,56.66666667,1.125,4,2.796621,194.3214941,0.45619,25.6844917,5,4.02,26.5
D2_male_4_final.txt,High,D2,44,30,17,56.66666667,1.125,7,2.353203,180.4945551,0.444529,22.20593787,5,4.5,24.5
D2_Male_5_final.txt,High,D2,44,30,17,56.66666667,1.125,4,2.756191,183.8310388,0.703424,23.07209568,5,n/a,24.5
D3_ Male_2_final.txt,High,D3,44,30,16,53.33333333,1,2,2.503128,183.4525775,0.569115,24.21741426,5,n/a,25
D3_Male_1_final.txt,High,D3,44,30,16,53.33333333,1,3,2.572903,178.0626781,0.577948,21.65167649,5,5.362,25
E1_Male_1_final.txt,High,E1,126,30,24,80,0.846153846,6,2.303616,185.7240141,0.859239,22.82208813,5,5.246,24.5
E1_Male_2_final.txt,High,E1,126,30,24,80,0.846153846,3,2.588821,182.0646127,0.427312,20.9277261,4,4.934,25
E1_Male_3_final.txt,High,E1,126,30,24,80,0.846153846,2,2.412835,184.3922227,0.636882,24.34669696,6,4.662,25.5
E1_Male_4_final.txt,High,E1,126,30,24,80,0.846153846,3,2.229841,183.6659728,0.745623,20.97498733,6,n/a,25
E1_Male_5_final.txt,High,E1,126,30,24,80,0.846153846,6,2.163064,188.7306813,0.706316,19.13634922,7,4.736,24.5
F2_Male_1_final.txt,Medium,F2,42,7,5,71.42857143,1.5,2,2.674604,179.1864933,0.598367,20.26653387,7,n/a,24
H1_Male_1_final.txt,Low,H1,32,32,17,53.125,1.833333333,3,2.647529,184.4337883,0.685896,13.81763486,7,5.168,24
K1_Male_1_final.txt,Medium,K1,45,30,22,73.33333333,0.571428571,6,2.773787,181.3163567,0.646144,27.92048247,4,4.998,26
K1_Male_2_final.txt,Medium,K1,45,30,22,73.33333333,0.571428571,4,2.269365,203.5922725,0.384444,24.37427748,7,n/a,26.5
K1_Male_3_final.txt,Medium,K1,45,30,22,73.33333333,0.571428571,4,2.265306,190.7304978,0.581632,27.80573799,5,5.444,26.5
K2_Male_1_final.txt,Medium,K2,45,30,23,76.66666667,0.4375,6,3.301882,192.1106557,0.773685,30.51906831,5,5.086,25
K2_Male_2_final.txt,Medium,K2,45,30,23,76.66666667,0.4375,5,2.753515,180.9481684,0.512178,21.59119943,6,4.398,25
K2_Male_3_final.txt,Medium,K2,45,30,23,76.66666667,0.4375,2,2.41873,188.3712169,0.768753,21.40601866,6,4.7,24.5
K2_Male_4_final.txt,Medium,K2,45,30,23,76.66666667,0.4375,2,2.297438,178.1049632,0.749183,23.25202874,5,4.676,24.5
K2_Male_5_final.txt,Medium,K2,45,30,23,76.66666667,0.4375,5,2.580726,191.8322108,0.629365,25.38264335,5,4.68,24
K3_Male_1_final.txt,Medium,K3,45,30,21,70,1.1,3,2.553922,179.2685842,0.745328,26.45152758,5,5.526,24
K3_Male_2_final.txt,Medium,K3,45,30,21,70,1.1,4,2.291632,184.5207586,0.773061,19.27645814,4,n/a,24
L1_Male_1_final.txt,Medium,L1,58,30,24,80,0.714285714,2,2.617438,194.0868215,0.712018,24.57505632,6,4.408,24
L1_Male_2_final.txt,Medium,L1,58,30,24,80,0.714285714,5,2.161519,179.2685842,0.732497,22.82410225,6,4.566,24
